x,y,Total number of holdings (c288),Total Area (c1),Total Crops & Fallow (c35),Rough Grazing Area (c7),Woodland on holding (c8)
134000,24000,4.6,243.6,9.1,25.2,0.6
134000,26000,0,0,0,0,0
134000,30000,0,0,0,0,0
134000,32000,0,0,0,0,0
136000,22000,5.3,280.6,12.2,10.4,3.6
136000,24000,8.6,459,17.7,41.3,2.1
136000,26000,11.4,416,12.3,25.2,1
136000,28000,10.3,258.5,4.7,0,0.6
136000,30000,10.3,258.5,4.7,0,0.6
136000,32000,13.7,344.6,6.3,0,0.8
136000,34000,3.4,86.2,1.6,0,0.2
138000,22000,7.9,372.2,14.2,13.9,3.7
138000,24000,9.6,368.3,10.3,14.1,1.5
138000,26000,10.4,366.4,8.3,14.2,0.3
138000,28000,12.9,350.1,3.2,200,0.7
138000,30000,6.9,172.3,3.2,64.5,0.4
138000,32000,12.9,357.6,3.2,226,1.1
138000,34000,8.3,231.6,4.8,0,0.4
140000,22000,5.2,183.2,4.1,7.1,0.2
140000,24000,10.4,366.4,8.3,14.2,0.3
140000,26000,10.4,366.4,8.3,14.2,0.3
140000,28000,10.4,396.6,3.8,187.5,2.2
140000,30000,10.4,396.6,7.6,0,2.2
140000,32000,9.3,345.6,5,70.5,4.3
140000,34000,6.3,251.5,3.3,129.1,1.6
140000,36000,0,0,0,0,0
142000,22000,5.2,183.2,4.1,7.1,0.2
142000,24000,10.4,366.4,8.3,14.2,0.3
142000,26000,10.7,363.4,7.5,7.5,3
142000,28000,9.9,371.1,6.9,0,3.2
142000,30000,9.3,345.6,6.2,0,4.3
142000,32000,6.2,220.9,2.4,70.5,4.8
142000,34000,7.3,295.5,0,273.8,3.3
142000,36000,5.3,266.9,1.2,148.3,0.3
142000,38000,0,0,0,0,0
144000,22000,2.6,91.6,2.1,3.5,0.1
144000,24000,11.3,312,7,15.5,5.4
144000,26000,14.7,360.1,11.5,16.7,6.6
144000,28000,16.9,426.6,16.1,8.7,5.9
144000,30000,12.2,360.7,10.3,0,6.1
144000,32000,8.2,294.6,4.9,0,6.4
144000,34000,8.2,294.6,2.4,141.1,6.4
144000,36000,7,355.8,2.4,148.3,0.4
144000,38000,3.5,177.9,2.4,0,0.2
146000,24000,2.9,73.5,1.6,4,1.8
146000,26000,12,279.4,13.2,4.7,2.5
146000,28000,0,0,0,0,0
146000,30000,0,0,0,0,0
146000,32000,8.2,294.6,4.9,0,6.4
146000,34000,8.2,294.6,4.9,0,6.4
146000,36000,8.7,338.6,4.9,74.2,1
146000,38000,7,355.8,2.4,148.3,0.4
146000,40000,0,0,0,0,0
148000,30000,8.5,212.8,9.1,0,1.7
148000,32000,9.1,293.5,7.4,1.4,4.2
148000,34000,9.6,292.9,6.2,102.8,3.1
148000,36000,10.4,321.3,7.4,0,1.6
148000,38000,9.6,262.2,2.3,101.2,0.8
148000,40000,7,181.9,4.2,16,0.4
150000,28000,0,0,0,0,0
150000,30000,0,0,0,0,0
150000,32000,10,292.3,10,1.4,1.9
150000,34000,10,292.3,10,5.7,1.9
150000,36000,10.1,299.6,7.5,46.8,1.9
150000,38000,17.8,406.3,9.3,64.1,0
150000,40000,4.4,101.6,2.3,16,0
152000,28000,6.7,79.4,4.5,0,0
152000,30000,19.6,433.7,27,11.7,1.1
152000,32000,11.1,310.2,10.9,3.4,2.3
152000,34000,9.9,296.2,10.7,1.4,1.9
152000,36000,11.4,276.2,7.1,16,0.5
152000,38000,0,0,0,0,0
154000,28000,20.5,340.6,15.9,13.8,1.7
154000,30000,7.2,181.9,6.9,6.9,1.7
154000,32000,13.2,349.7,13.6,13.9,3
154000,34000,9.6,307.7,12.9,3.6,1.7
154000,36000,2.4,76.9,3.2,0,0.4
154000,38000,0,0,0,0,0
156000,28000,16.9,368.1,11.7,14.2,1
156000,30000,14.3,367.2,12.2,13.9,1.8
156000,32000,9.6,307.7,12.9,14.4,1.7
156000,34000,9.6,307.7,12.9,14.4,1.7
156000,36000,9.4,335.9,17.1,17.6,0.9
156000,38000,0,0,0,0,0
156000,40000,0,0,0,0,0
158000,26000,7.1,185.3,5.3,14.1,0.1
158000,28000,19.6,368.9,11.1,21.5,0.1
158000,30000,9.8,184.5,5.6,10.8,0
158000,32000,16,336.2,10.7,3.6,1.1
158000,34000,13.2,359.5,13.8,13.6,1
158000,36000,12.6,392.4,16.2,20,0.8
158000,38000,12.6,392.4,16.2,20,0.8
158000,40000,9.5,252.7,7.2,3.6,0.2
158000,42000,11.7,262.4,7,2.4,1.2
160000,26000,10.7,278,8,21.1,0.1
160000,28000,10.7,278,8,21.1,0.1
160000,30000,14.2,370.6,10.6,28.1,0.2
160000,32000,16.1,358.2,10.3,14.1,0.6
160000,34000,15.4,341.3,9.8,2.4,0.6
160000,36000,12.6,336.9,9.7,4.7,0.3
160000,38000,12.6,336.9,9.7,4.7,0.3
160000,40000,19.3,366.1,8.9,1.2,3.2
160000,42000,10.7,187.9,4.3,0,2.1
162000,24000,3.3,106.9,2.6,0,0.2
162000,26000,13.2,381.9,9.3,16.3,0.5
162000,28000,13.2,336.1,8.3,19.9,0.4
162000,30000,13.2,336.1,8.3,19.9,0.4
162000,32000,17.1,351.9,10.1,7,0.8
162000,34000,13.6,259.3,7.5,0,0.7
162000,36000,15.4,341.3,9.8,2.4,0.6
162000,38000,17.1,356.3,9.1,2.4,2.3
162000,40000,21.5,375.8,8.6,0,4.2
162000,42000,16.1,281.8,6.5,0,3.2
164000,20000,1.8,102.2,4.3,11.5,0.2
164000,22000,5.5,306.6,12.9,34.4,0.6
164000,24000,6.6,213.8,5.2,0,0.3
164000,26000,9.9,320.7,7.7,6.3,0.5
164000,28000,12.5,333.1,7.1,15.1,0.7
164000,30000,12.2,301.6,6.1,11.7,0.7
164000,32000,15.1,323.6,8,5.8,0.8
164000,34000,18.1,345.7,9.9,21.4,1
164000,36000,18.9,353.2,9.6,36.3,1.8
164000,38000,10.7,187.9,4.3,0,2.1
164000,40000,5.4,93.9,2.2,0,1.1
164000,42000,5.4,93.9,2.2,0,1.1
164000,44000,10.7,187.9,4.3,0,2.1
166000,12000,0,0,0,0,0
166000,14000,0,0,0,0,0
166000,16000,6.7,255.6,2.8,31.3,2.7
166000,18000,2.2,85.2,1.4,0,0.9
166000,20000,5.9,289.6,10,11.5,1.3
166000,22000,8.8,429.9,11.5,8.4,21.9
166000,24000,4.2,185.2,5.3,0,4.4
166000,26000,8.5,198.7,3.9,6.3,1.8
166000,28000,15.6,275.4,3.9,0,4.8
166000,30000,14.4,318,5.9,8.8,2.1
166000,32000,13.5,259,4.1,10.8,3.3
166000,34000,18.8,351.1,8.8,72.3,2.3
166000,36000,20.6,368.3,9,66,3.4
166000,38000,21.5,375.8,8.6,59.4,4.2
166000,40000,0,0,0,0,0
166000,42000,10.7,187.9,4.3,0,2.1
166000,44000,21.5,375.8,8.6,0,4.2
166000,46000,10.7,187.9,4.3,0,2.1
168000,12000,2.5,89.2,2.6,0,0.8
168000,14000,7.2,263.7,0,131.7,2.6
168000,16000,5.7,247.3,0,116.3,2.2
168000,18000,8.9,340.8,5.6,0,3.5
168000,20000,6.7,310,7.3,8.4,14
168000,22000,8.7,410.1,11.2,8.4,17.5
168000,24000,6.4,277.9,8,0,6.6
168000,26000,14.7,368.9,7.9,0,7.6
168000,28000,20.8,367.2,5.2,0,6.4
168000,30000,20.8,367.2,5.2,0,6.4
168000,32000,20.8,367.2,5.2,0,6.4
168000,34000,20.8,367.2,5.2,31.7,6.4
168000,36000,20.8,367.2,3.9,123.8,6.4
168000,38000,21.3,373.7,7.8,52.5,4.8
168000,40000,5.4,93.9,2.2,14.9,1.1
168000,42000,10.7,187.9,4.3,0,2.1
168000,44000,21.5,375.8,8.6,0,4.2
168000,46000,14.6,261.4,7.4,4,1.8
168000,48000,0,0,0,0,0
170000,12000,6.2,255.4,8,0,2.1
170000,14000,6.2,319.9,8.1,53.6,2.1
170000,16000,4.9,307.6,11,0,1.7
170000,18000,2.5,153.8,0,107.3,0.9
170000,20000,4.4,224.8,5.9,16.8,13.1
170000,22000,6.4,277.9,5.3,81.6,6.6
170000,24000,4.2,185.2,5.3,0,4.4
170000,26000,10.3,266.3,4.8,0,6.8
170000,28000,10.3,349,7,0,10.5
170000,30000,15.5,358.1,6.1,31,8.4
170000,32000,18.2,362.7,5.7,38.9,7.4
170000,34000,15.6,275.4,3.9,23.8,4.8
170000,36000,12.9,249.4,3.2,18.8,1.9
170000,38000,18.4,345.5,6.2,25.7,2.5
170000,40000,16.1,281.8,6.5,44.6,3.2
170000,42000,10.7,187.9,4.3,14.9,2.1
170000,44000,15.4,271.6,6.9,2,2.5
170000,46000,18.5,334.9,10.6,8.1,1.6
170000,48000,13.9,251.2,7.9,6.1,1.2
170000,50000,9.2,167.4,5.3,4,0.8
170000,208000,0,0,0,0,0
170000,222000,1.8,74.7,0,43.3,0.1
170000,224000,1.8,74.7,2.9,0,0.1
172000,14000,1.2,76.9,2.8,0,0.4
172000,16000,4.9,307.6,2.8,160.9,1.7
172000,18000,4.1,186.3,0,153.6,4.4
172000,20000,0,0,0,0,0
172000,22000,7.3,373.3,10,2.9,9.7
172000,24000,4.7,282.1,7,0,7.9
172000,26000,10.3,349,7,0,10.5
172000,28000,10.3,349,7,0,10.5
172000,30000,10.3,349,7,31,10.5
172000,32000,14.2,345.1,5.7,80.7,7
172000,34000,16.7,328.2,4.1,18.8,2.1
172000,36000,15.3,315.2,3.8,0,0.7
172000,38000,20.6,322.5,6.5,0,2
172000,40000,16.1,281.8,6.5,14.9,3.2
172000,42000,15.5,246.3,5,6.6,1.7
172000,44000,20.2,281.3,5.6,5.2,1.2
172000,46000,18.5,334.9,10.6,8.1,1.6
172000,48000,18.5,334.9,10.6,8.1,1.6
172000,50000,9.2,167.4,5.3,4,0.8
172000,52000,0,0,0,0,0
172000,208000,0,0,0,0,0
172000,222000,3.6,149.5,2.9,43.3,0.2
172000,224000,7.2,299,11.5,0,0.3
172000,226000,3.6,149.5,2.9,43.3,0.2
172000,228000,1.8,74.7,0,43.3,0.1
174000,16000,5.7,218.7,3.8,51.9,7.9
174000,18000,8.5,328.1,5.7,77.9,11.8
174000,20000,11.3,437.5,7.6,103.9,15.7
174000,22000,8.9,393.2,9.7,31.8,10.2
174000,24000,9.1,379.7,10.9,5.9,7.2
174000,26000,2.6,87.2,1.8,0,2.6
174000,28000,10.3,349,7,0,10.5
174000,30000,11.7,343.5,6.9,3.5,6.9
174000,32000,16,320.4,5.7,9.5,1.8
174000,34000,15,335.1,5.9,27.9,1.9
174000,36000,14.4,352.4,7.2,0,2.6
174000,38000,17.8,310,4.8,0,1
174000,40000,15.3,228.6,4.3,0,0.9
174000,42000,15.5,197.6,3,3.2,0.8
174000,44000,20.7,263.5,4,4.3,1
174000,46000,20.4,359.6,8.9,7.7,4.7
174000,48000,18.5,351.7,10,4,3.7
174000,50000,18.5,351.7,10,2,3.7
174000,52000,9.2,175.9,5,2,1.8
174000,54000,0,0,0,0,0
174000,224000,5.4,224.2,8.6,0,0.2
174000,226000,7.2,299,11.5,0,0.3
174000,228000,3.6,149.5,2.9,43.3,0.2
176000,16000,11.3,437.5,7.6,103.9,15.7
176000,18000,8.5,328.1,3.8,151.9,11.8
176000,20000,8.5,328.1,5.7,77.9,11.8
176000,22000,11.3,416.4,9.9,54.9,11.5
176000,24000,11.2,395.4,12.2,9,7.2
176000,26000,4.2,164.9,4.2,0,5.5
176000,28000,7.6,320.3,9,6.1,11.2
176000,30000,8.5,333.3,8.8,14.4,8.2
176000,32000,11.8,347,7.5,5.9,4.1
176000,34000,11.4,257.6,5.5,4.8,2
176000,36000,12.8,378.2,10.9,2.1,8.8
176000,38000,15.5,296.1,8.3,0,4.8
176000,40000,18.4,322.8,7.6,4.5,4.4
176000,42000,12.3,286.7,7.6,8.7,8.6
176000,44000,18.9,386.7,9.8,9.1,8.2
176000,46000,21.1,420,10.5,9.3,8.1
176000,48000,19.2,381.5,9.8,2.3,6.4
176000,50000,18.5,368.6,9.5,0,5.8
176000,52000,18.5,368.6,9.5,0,5.8
176000,54000,9.3,184.3,4.8,68.1,2.9
176000,56000,0,0,0,0,0
176000,58000,3.8,163.4,2,56.8,0.6
176000,60000,5,207.5,7.2,7.6,0.3
176000,208000,2,188.9,8.9,76.7,3.2
176000,224000,7.2,299,11.5,0,0.3
176000,226000,7.2,299,8.6,43.3,0.3
176000,228000,7.2,299,8.6,43.3,0.3
178000,18000,0,0,0,0,0
178000,20000,11.3,437.5,7.6,77.9,15.7
178000,22000,11.3,437.5,7.6,51.9,15.7
178000,24000,8,313.2,7.9,32.1,9.2
