SQUARE,YEAR,ID,BROAD_HABITAT,BROAD_HABITAT_NAME,AREA,LAND_CLASS90,COUNTRY,COUNTY,EZ_DESC_07
CIOSPC,1978,1,8,Acid Grassland,30500.61089,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,2,10,Dwarf Shrub Heath,26707.00095,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,3,10,Dwarf Shrub Heath,31097.6279,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,4,1,Broadleaved Mixed and Yew Woodland,26850.44099,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,5,9,Bracken,42248.36101,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,6,10,Dwarf Shrub Heath,85667.16256,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,7,10,Dwarf Shrub Heath,31808.22536,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,8,8,Acid Grassland,68813.80901,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,9,10,Dwarf Shrub Heath,44983.55503,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,10,36,(ph) Purple Moor Grass Rush Pasture,8480.380149,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,11,5,Improved Grassland,8098.930335,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,12,6,Neutral Grassland,71870.08114,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,13,8,Acid Grassland,37708.06218,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,14,1,Broadleaved Mixed and Yew Woodland,21126.34546,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,15,8,Acid Grassland,35143.02386,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,16,6,Neutral Grassland,176469.2662,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,17,3,Boundary and Linear Features,5424.239664,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,18,6,Neutral Grassland,13345.53828,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,19,8,Acid Grassland,52600.6835,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,20,4,Arable and Horticulture,4660.587213,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,21,6,Neutral Grassland,16697.19242,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,22,6,Neutral Grassland,2724.242909,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,23,10,Dwarf Shrub Heath,14705.26447,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,24,10,Dwarf Shrub Heath,56130.18631,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,25,8,Acid Grassland,38049.96657,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
CIOSPC,1978,26,10,Dwarf Shrub Heath,48090.21567,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,27,5,Improved Grassland,8378.300975,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,28,17,Urban,2573.995985,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,29,5,Improved Grassland,31417.30575,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,30,5,Improved Grassland,1106.294182,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,31,5,Improved Grassland,1092.841497,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,32,4,Arable and Horticulture,198135.2648,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,33,5,Improved Grassland,26469.9393,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,34,5,Improved Grassland,38586.56034,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,35,1,Broadleaved Mixed and Yew Woodland,5328.858661,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,36,5,Improved Grassland,28891.78886,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,37,17,Urban,3642.616576,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,38,17,Urban,2528.508252,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,39,5,Improved Grassland,2171.367839,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,40,5,Improved Grassland,20630.87051,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,41,6,Neutral Grassland,23585.41115,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,42,17,Urban,694.3665455,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,43,5,Improved Grassland,92148.49067,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
EYAJMO,1978,44,5,Improved Grassland,45515.76282,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England)
